Date,Open,High,Low,Close,Adj Close,Volume
2021-02-03,3250,3330,3220,3240,2691.037109,86433900
2021-02-04,3270,3330,3260,3290,2732.565674,80319500
2021-02-05,3320,3320,3270,3290,2732.565674,52630500
2021-02-08,3300,3370,3270,3280,2724.260010,96635600
2021-02-09,3250,3300,3180,3200,2657.814697,157479200
2021-02-10,3180,3220,3160,3190,2649.508789,125221400
2021-02-11,3220,3230,3170,3190,2649.508789,79940700
2021-02-15,3200,3260,3200,3220,2674.426025,88883300
2021-02-16,3200,3250,3190,3210,2666.120117,82026300
2021-02-17,3220,3250,3140,3150,2616.286133,121105300
2021-02-18,3190,3270,3180,3180,2641.203369,151200300
2021-02-19,3180,3220,3170,3210,2666.120117,63214600
2021-02-22,3210,3240,3170,3170,2632.897949,100425500
2021-02-23,3200,3480,3200,3470,2882.067627,354966200
2021-02-24,3490,3550,3460,3480,2890.373535,303017100
2021-02-25,3510,3570,3450,3490,2898.679199,226833000
2021-02-26,3450,3510,3410,3490,2898.679199,230007700
2021-03-01,3490,3510,3470,3490,2898.679199,91513500
2021-03-02,3490,3500,3440,3460,2873.761963,169061400
2021-03-03,3480,3480,3420,3440,2857.150635,82610700
2021-03-04,3420,3430,3350,3360,2790.705322,142322100
2021-03-05,3340,3370,3320,3320,2757.482910,128546000
2021-03-08,3360,3400,3330,3340,2774.093750,80094900
2021-03-09,3370,3390,3280,3290,2732.565674,110090800
2021-03-10,3340,3420,3310,3400,2823.927979,91631900
2021-03-12,3440,3480,3430,3450,2865.456299,100195200
2021-03-15,3440,3450,3380,3380,2807.316650,50077300
2021-03-16,3400,3410,3360,3360,2790.705322,60111200
2021-03-17,3410,3430,3370,3390,2815.622314,61701400
2021-03-18,3450,3480,3430,3450,2865.456299,101896400
2021-03-19,3410,3440,3380,3440,2857.150635,140000000
2021-03-22,3440,3440,3380,3380,2807.316650,53870300
2021-03-23,3390,3420,3350,3360,2790.705322,55323200
2021-03-24,3320,3390,3320,3370,2799.010986,67173200
2021-03-25,3400,3430,3380,3410,2832.233643,107607200
2021-03-26,3410,3500,3390,3490,2898.679199,106810400
2021-03-29,3470,3490,3400,3410,2832.233643,72214100
2021-03-30,3420,3430,3360,3380,2807.316650,66491800
2021-03-31,3380,3420,3330,3420,2840.539307,134671900
2021-04-01,3390,3440,3380,3390,2815.622314,73332000
2021-04-05,3430,3430,3370,3380,2807.316650,36029200
2021-04-06,3400,3410,3370,3370,2799.010986,40566400
2021-04-07,3410,3430,3380,3400,2823.927979,84754300
2021-04-08,3380,3400,3380,3390,2815.622314,59079700
2021-04-09,3390,3390,3360,3360,2790.705322,56861400
2021-04-12,3340,3390,3300,3310,2749.177002,79003200
2021-04-13,3340,3340,3300,3330,2765.788330,51300200
2021-04-14,3360,3360,3320,3340,2774.093750,52587500
2021-04-15,3340,3360,3320,3360,2790.705322,65669100
2021-04-16,3370,3370,3320,3360,2790.705322,52517800
2021-04-19,3330,3360,3330,3340,2774.093750,44899700
2021-04-20,3330,3350,3300,3320,2757.482910,55700100
2021-04-21,3290,3330,3280,3280,2724.260010,47167800
2021-04-22,3290,3340,3290,3330,2765.788330,54970000
2021-04-23,3330,3330,3290,3310,2749.177002,39798400
2021-04-26,3280,3300,3250,3250,2699.342773,55076200
2021-04-27,3240,3250,3140,3160,2624.591797,166985400
2021-04-28,3160,3170,3130,3140,2607.980713,91596300
2021-04-29,3150,3210,3140,3200,2657.814697,111785100
2021-04-30,3220,3260,3200,3200,2657.814697,143840800
2021-05-03,3200,3210,3130,3170,2632.897949,124724400
2021-05-04,3180,3210,3170,3210,2666.120117,60180600
2021-05-05,3210,3210,3180,3200,2657.814697,76480300
2021-05-06,3200,3200,3150,3190,2649.508789,91955600
2021-05-07,3200,3220,3180,3190,2649.508789,98099900
2021-05-10,3190,3200,3160,3170,2632.897949,104121900
2021-05-11,3170,3200,3150,3180,2641.203369,94281900
2021-05-17,3190,3190,3150,3190,2649.508789,114071400
2021-05-18,3190,3190,3150,3180,2641.203369,77310400
2021-05-19,3150,3220,3150,3160,2624.591797,48958100
2021-05-20,3190,3320,3180,3310,2749.177002,197430900
2021-05-21,3340,3350,3270,3270,2715.954346,104101400
2021-05-24,3290,3330,3220,3260,2707.648926,64347100
2021-05-25,3290,3320,3270,3300,2740.871094,62218300
2021-05-27,3350,3400,3330,3380,2807.316650,233551300
2021-05-28,3380,3400,3260,3270,2715.954346,87439800
2021-05-31,3300,3460,3300,3440,2857.150635,155768200
2021-06-02,3490,3500,3420,3450,2865.456299,108933400
2021-06-03,3420,3490,3420,3490,2898.679199,77627900
2021-06-04,3490,3510,3450,3500,2906.984619,70624200
2021-06-07,3540,3570,3500,3550,2948.513184,124440300
2021-06-08,3550,3550,3470,3500,2906.984619,132409400
2021-06-09,3340,3400,3310,3390,2957.595215,112204200
2021-06-10,3350,3500,3340,3480,3036.115479,137713700
2021-06-11,3490,3500,3420,3470,3027.391113,82336600
2021-06-14,3460,3470,3400,3410,2975.044434,46016500
2021-06-15,3410,3440,3380,3440,3001.217773,60528600
2021-06-16,3380,3430,3380,3410,2975.044434,39149800
2021-06-17,3370,3420,3350,3350,2922.697510,50286100
2021-06-18,3350,3400,3290,3350,2922.697510,168414300
2021-06-21,3280,3340,3260,3300,2879.075195,74248200
2021-06-22,3300,3370,3290,3300,2879.075195,89349200
2021-06-23,3310,3420,3310,3370,2940.146240,81901000
2021-06-24,3330,3360,3240,3250,2835.452881,101334200
2021-06-25,3250,3300,3240,3250,2835.452881,58330700
2021-06-28,3250,3260,3170,3170,2765.656982,66338900
2021-06-29,3190,3260,3150,3160,2756.932617,123411200
2021-06-30,3150,3180,3130,3150,2748.208008,142204500
2021-07-01,3160,3170,3090,3110,2713.310059,143665900
2021-07-02,3110,3130,3060,3070,2678.412354,161855700
2021-07-05,3070,3090,3010,3040,2652.238770,133815000
2021-07-06,3050,3070,3000,3010,2626.065430,151573500
2021-07-07,3030,3070,3010,3030,2643.514404,110215500
2021-07-08,3060,3060,3000,3010,2626.065430,132576600
2021-07-09,3040,3170,3030,3160,2756.932617,222916400
2021-07-12,3190,3190,3110,3130,2730.759033,86268000
2021-07-13,3160,3160,3050,3070,2678.412354,82856600
2021-07-14,3050,3070,3020,3060,2669.687988,84993400
2021-07-15,3110,3140,3080,3130,2730.759033,88092800
2021-07-16,3140,3170,3110,3170,2765.656982,63626300
2021-07-19,3160,3230,3150,3220,2809.279297,116219500
2021-07-21,3190,3240,3180,3210,2800.554932,115099400
2021-07-22,3210,3260,3210,3260,2844.177002,48865700
2021-07-23,3250,3250,3150,3170,2765.656982,67128400
2021-07-26,3140,3200,3140,3190,2783.106201,55525800
2021-07-27,3210,3270,3160,3270,2852.901611,62673400
2021-07-28,3250,3250,3150,3190,2783.106201,103282300
2021-07-29,3210,3290,3200,3230,2818.003662,126542400
2021-07-30,3200,3290,3200,3240,2826.728271,95143100
2021-08-02,3240,3310,3210,3310,2887.799805,60368200
2021-08-03,3310,3360,3290,3330,2905.248535,89712500
2021-08-04,3330,3370,3310,3370,2940.146240,63108600
2021-08-05,3360,3400,3320,3340,2913.972900,89742800
2021-08-06,3360,3380,3310,3320,2896.524170,31664200
2021-08-09,3260,3300,3220,3250,2835.452881,70299500
2021-08-10,3240,3270,3190,3230,2818.003662,57658000
2021-08-12,3260,3350,3240,3350,2922.697510,93133400
2021-08-13,3370,3380,3260,3300,2879.075195,59903600
2021-08-16,3300,3340,3290,3340,2913.972900,38661800
2021-08-18,3360,3440,3350,3420,2983.768799,162921300
2021-08-19,3410,3430,3360,3390,2957.595215,100851800
2021-08-20,3390,3430,3370,3400,2966.319824,113411000
2021-08-23,3420,3440,3400,3440,3001.217773,64122400
2021-08-24,3410,3420,3310,3400,2966.319824,69338100
2021-08-25,3390,3390,3330,3370,2940.146240,66618200
2021-08-26,3330,3360,3320,3360,2931.421875,55756100
2021-08-27,3370,3370,3310,3320,2896.524170,62419000
2021-08-30,3330,3400,3330,3400,2966.319824,64177700
2021-08-31,3400,3420,3360,3400,2966.319824,130019000
2021-09-01,3420,3420,3330,3340,2913.972900,85135200
2021-09-02,3350,3390,3350,3370,2940.146240,51633800
2021-09-03,3400,3420,3370,3390,2957.595215,65479800
2021-09-06,3410,3410,3380,3390,2957.595215,52640400
2021-09-07,3410,3410,3360,3380,2948.870850,42617400
2021-09-08,3400,3400,3310,3330,2905.248535,80636800
2021-09-09,3360,3390,3330,3390,2957.595215,82214400
2021-09-10,3380,3390,3320,3330,2905.248535,52115300
2021-09-13,3310,3350,3300,3350,2922.697510,45547200
2021-09-14,3380,3450,3350,3440,3001.217773,166002100
2021-09-15,3430,3450,3410,3450,3009.942383,73158300
2021-09-16,3470,3470,3400,3440,3001.217773,58318700
2021-09-17,3400,3530,3390,3530,3079.738037,117573100
2021-09-20,3500,3520,3460,3520,3071.013428,83985100
2021-09-21,3500,3560,3480,3530,3079.738037,95848100
2021-09-22,3530,3590,3520,3590,3132.084473,66835200
2021-09-23,3600,3610,3550,3560,3105.911377,104737500
2021-09-24,3560,3580,3540,3560,3105.911377,72224500
2021-09-27,3530,3560,3480,3520,3071.013428,87303000
2021-09-28,3510,3540,3490,3530,3079.738037,54671700
2021-09-29,3490,3540,3490,3530,3079.738037,53170100
2021-09-30,3550,3690,3540,3690,3219.329590,153853900
2021-10-01,3680,3690,3610,3660,3193.156006,109898400
2021-10-04,3620,3670,3600,3670,3201.880615,82205100
2021-10-05,3670,3680,3620,3670,3201.880615,140488300
2021-10-06,3690,3770,3650,3760,3280.400635,153535700
2021-10-07,3720,3740,3690,3720,3245.502686,56837600
2021-10-08,3730,3800,3720,3800,3315.298828,91361800
2021-10-11,3800,3850,3770,3810,3324.023193,78865000
2021-10-12,3780,3840,3770,3780,3297.849609,69866300
2021-10-13,3750,3820,3750,3770,3289.125244,87143900
2021-10-14,3770,3830,3770,3830,3341.471924,95817900
2021-10-15,3840,3840,3750,3810,3324.023193,69707700
2021-10-18,3840,3840,3790,3790,3306.574219,78580700
2021-10-19,3750,3800,3720,3740,3262.951904,61095700
2021-10-21,3780,3880,3760,3850,3358.920898,169659500
2021-10-22,3860,3880,3820,3870,3376.369873,59640700
2021-10-25,3800,3840,3780,3780,3297.849609,58246300
2021-10-26,3800,3830,3780,3800,3315.298828,58615100
2021-10-27,3820,3830,3770,3790,3306.574219,52210100
2021-10-28,3820,3820,3710,3750,3271.676270,61151100
2021-10-29,3750,3810,3730,3800,3315.298828,70430900
2021-11-01,3810,3820,3700,3700,3228.053955,65447100
2021-11-02,3700,3710,3640,3660,3193.156006,170260000
2021-11-03,3620,3740,3620,3720,3245.502686,48810500
2021-11-04,3750,3780,3720,3770,3289.125244,53494200
2021-11-05,3760,3770,3710,3770,3289.125244,43133000
2021-11-08,3780,3780,3710,3750,3271.676270,58758600
2021-11-09,3730,3740,3680,3710,3236.778320,92427800
2021-11-10,3670,3720,3670,3700,3228.053955,53511200
2021-11-11,3700,3730,3640,3650,3184.431396,95789600
2021-11-12,3660,3660,3600,3600,3140.809082,115142400
2021-11-15,3600,3650,3600,3600,3140.809082,91001800
2021-11-16,3590,3680,3590,3670,3201.880615,99590700
2021-11-17,3690,3690,3600,3630,3166.982666,82023300
2021-11-18,3630,3640,3600,3630,3166.982666,53290400
2021-11-19,3660,3920,3660,3900,3402.543457,310615000
2021-11-22,3920,3930,3780,3800,3315.298828,206683100
2021-11-23,3800,3850,3780,3800,3315.298828,67778800
2021-11-24,3840,3840,3790,3800,3315.298828,67303800
2021-11-25,3880,4090,3850,4000,3489.788086,264897100
2021-11-26,4040,4050,3970,4010,3498.512451,231870300
2021-11-29,4010,4170,3980,4140,3611.930664,228774600
2021-11-30,4150,4170,3990,3990,3481.063477,435800600
2021-12-01,4040,4150,4020,4080,3559.583740,200699200
2021-12-02,4140,4190,4100,4160,3629.379639,116093100
2021-12-03,4130,4180,4050,4070,3550.859131,96760700
2021-12-06,4060,4250,4050,4170,3638.104004,106756900
2021-12-07,4180,4200,4120,4150,3620.655029,121543400
2021-12-08,4100,4120,4010,4090,3568.308350,113845600
2021-12-09,4090,4150,4080,4150,3620.655029,86985800
2021-12-10,4070,4150,4070,4150,3620.655029,90725000
2021-12-13,4150,4150,4080,4080,3559.583740,65533000
2021-12-14,4120,4120,4070,4100,3577.032715,75736900
2021-12-15,4060,4140,4060,4080,3559.583740,84424500
2021-12-16,4110,4150,4060,4100,3577.032715,98164300
2021-12-17,4010,4100,4010,4100,3577.032715,149615800
2021-12-20,4070,4110,4040,4080,3559.583740,72794200
2021-12-21,4110,4190,4100,4160,3629.379639,98039300
2021-12-22,4160,4170,4110,4110,3585.757080,50574500
2021-12-23,4110,4160,4100,4160,3629.379639,54508200
2021-12-24,4160,4170,4100,4110,3585.757080,29075600
